city,count
GAINESVILLE,1375
CHESWICK,17
JAYESS,9
BRIDPORT,1
LUMBERTON TOWNSHIP,1
DUCHESNE,11
NIANTIC,39
GLENARDEN,24
MONSEY,29
FAYETTEVILLE,1342
GREAT NECK PLAZA,2
RELIANCE,3
APACHE,9
SDFSDFSDF,1
QWKJD,1
MOUNT STORM,2
DEANE,1
SAN AUGUSTINE,17
SINKS GROVE,1
MCGREGOR,15
NORTH YARMOUTH,6
MASSAPEQUA PARK,37
WEWAHITCHKA,26
YADKINVILLE,20
AUXIER,4
BRAMWELL,1
COAL TOWNSHIP,17
EAST LYNNE,4
HOLLAND PATNT,2
COAL CREEK,1
MOUNT ANGEL,11
DONA VISTA,1
KELLIHER,1
LUBEC,4
BAYOU VISTA,10
FRUIT COVE,40
CERRO GORDO,11
EATONVILLE,26
COCHRAN,31
ELIZABETHVILLE,6
PARLIN,60
RONKS,2
ST JOHNS,132
LK WINNEBAGO,2
MILLERSVILLE,84
NOBLESVILLE,281
CLAY,52
COOLINDGE,1
VANCE,11
WARMINSTER,96
WATERFORD TWP,11
PRIM,1
MATLOCK,1
DEALE,9
IDA,6
MATHESON,3
WARD BASIN,1
BONNY DOON,2
HUDSON,869
KANNAPOLIS,125
MABIE,3
ILLINOIS CITY,5
MC DONALD,69
BOYNE FALLS,9
ELLPORT,1
GREAT BARRINGTON,15
ASBURY,27
BARNESVILLE,59
CRESSKILL,21
STROUDSBURG,67
COPALIS BEACH,1
NEEDMORE,5
LONGTON,2
KENYON,12
ERIE,580
STILESVILLE,3
SWAN POINT,2
THE LAKES,1
WASOLA,3
WESTMORELAND CITY,1
EASTFORD,3
ERIN,8
HOLLIS HILLS,1
WEST GLACIER,2
AUBURN TWP,1
LAURENCE HARBOR,5
REXFORD,20
VANPORT,1
MEDFORD,501
NORTONVILLE,10
CANUTILLO,18
PRT WENTWORTH,1
PIPE CREEK,18
AVONDALE ESTATES,16
EMMITSBURG,15
CHILOQUIN,17
PHEBA,2
GOLDEN GATE,1
TOWNVILLE,11
MABANK,62
THIBODAUX,98
FORT RILEY,2
UPPER MARLBORO,415
LANESBOROUGH,1
NEW MIDDLETWN,2
FALLING WATERS,12
NASHOTAH,1
PORT JEFFERSON,15
NORTH WALTHAM,2
BLAKELY,18
MICA,1
BROOKHAVEN,267
CANYON COUNTRY,197
PRAIRIE GROVE,36
BLAND,15
CANYON CITY,4
SULLIGENT,5
RANGELEY PLT,1
CLYDE HILL,4
FUNK,1
SHINGLE SPRINGS,69
IGO,3
CALIPATRIA,5
HARWICH PORT,5
PREBLE,2
EAST DUBUQUE,15
HARRISBURG,760
ARTOIS,2
ENDWELL,13
THETFORD CTR,2
MIDDLEBOROUGH,1
BROWNTOWN,2
GLENN HEIGHTS,69
SHANNON,16
SPOFFORD,12
HOWARDS GROVE,10
CAYUCOS,15
FOUNTAIN RUN,2
MERTENS,2
BENICIA,134
TOOMSUBA,3
COLLINSVILLE,220
STRANDBURG,1
TIPTONVILLE,6
MANALAPAN,127
REGISTER,5
XENIA,105
HAPPY JACK,15
LONG BRANCH,63
CHRISTMAS,11
GOODE,6
CHENEYVILLE,2
MICO,10
PICKEREL,3
SAN ANTONIO,5784
EUHARLEE,18
WOLCOTT,97
WEST COLLINGSWOOD HEIGHTS,1
KELSEY,4
GREENBELT,36
EATONTOWN,25
IRONWOOD,9
INDIAN ROCKS BEACH,63
GROVE CITY,290
BOURBON,15
REPUB CITY,1
WESTPORT,148
CLIO,59
SLAYTON,10
DOWELL,1
BULL SHOALS,5
FLAGLER,1
GIBSONBURG,9
PIKEVILLE,72
BLAIN,2
DUCK HILL,3
WETMORE,10
GREGORY,19
PLAINFIELD,724
SOUTHERN PNES,7
DOLA,1
CLARYVILLE,3
GLENSHAW,40
BLAIR,37
TWIN LAKE,27
HISPERY,1
OAKMAN,3
STURGEON LAKE,9
LISMORE,1
COKEBURG,1
EROS,6
SAYVILLE,26
MEADVIEW,12
NEW BRITAIN,176
WHITE ROCK,6
KAHLOTUS,3
TREZEVANT,3
BELGIUM,9
DOON,3
MECHANICVILLE,48
OAKLYN,27
PLEASANT PLNS,1
EIGHTY FOUR,9
HAWORTH,17
DUE WEST,2
STARKVILLE,55
KIRKWOOD,61
OSWEGO,224
HOT SPRINGS,271
SUNFISH LAKE,1
BUTTE VALLEY,2
NEWFOUNDLAND,15
OTHELLO,29
WEST MONOROE,1
TYLERTOWN,15
LOSANGELES,1
FAWNSKIN,6
HALLSBORO,2
NORTHFORD,16
GUSTAVUS,1
WAPPINGERS FALLS,48
LINDSAY,37
HATTIEVILLE,3
SAINT PETERS,256
STILLMAN VLY,1
PRINCES LAKES,3
APOLLO,30
LA MONTE,6
LAKE GEORGE,21
SAFFELL,3
INA,1
DORCHESTR CTR,2
GARDEN RIDGE,7
JHJGHJHJH,1
FACTORYVILLE,8
VAN HORNE,2
LITTLE SIOUX,1
TRACY CITY,12
FORT BIDWELL,1
HELEN,4
NEW GERMANY,4
PROVINCETOWN,19
NANTY GLO,6
CODEN,5
CROSSVILLE,169
CASTORLAND,2
EAST BETHEL,35
FLINT TWP,1
BOILING SPGS,33
BELEWS CREEK,6
INVER GROVE HEIGHTS,68
DORA,24
JOANNA,4
ROARING BK TP,1
NEW MIDDLETON,2
WEST VALLEY CITY,227
YANTIS,10
QUAIL HEIGHTS,2
ARROWBEAR LAKE,8
NORTH OGDEN,35
WEST FARGO,79
SANTA FE SPRINGS,39
GRAND RAPIDS,661
NEW ENTERPRISE,3
OGDENSBURG,43
EAST BERNARD,39
YANTIC,1
BOWMANSTOWN,1
ARRIBA,4
BERNALILLO,21
SUNNY SIDE,1
CROWN POINT,277
EARLVILLE,12
WAPPAPELLO,4
GAINEVILLE,1
RIVER EDGE,34
DUNEDIN,342
SHARONVILLE,10
ALINE,1
DUNCANVILLE,148
DOSS,1
MCDANIEL,1
TRIPP,2
FORT PLAIN,13
GUSTON,2
KAMAS,28
SAN SABA,9
COOLIDGE,116
VALPO,1
WEST WINDSOR TOWNSHIP,1
LOMA RICA,4
BACHE,1
MARBLE HILL,16
RIDDLETON,2
APALACHIN,19
HOLMEN,26
KIT CARSON,1
NORTH CHARLESTON,250
BATTLETOWN,3
DORR,14
MCCLUSKY,5
CHEBANSE,3
HOLMES,17
JAMAICA BEACH,10
HIGHLANDS RANCH,443
SAINT GABRIEL,11
PALOS HILLS,49
EDGARD,4
OCONEE,2
PRUE,2
IRA,9
JEFFERSON HLS,2
MILO,7
OKEANA,6
WEEPING WATER,6
WHITEHALL,119
HARVARD,46
NORRIDGE,60
TAMWORTH,2
ELROY,6
CENTRAHOMA,1
HARLETON,6
CROOK,1
VESPER,2
BISHOPVILLE,43
PARMA HEIGHTS,42
EAGLE PASS,98
SPIVEY,1
WINSIDE,3
SPURGEON,1
WEATHERBY LAKE,7
CEDAR VALE,4
IMMOKALEE,42
MONTGOMERY CENTER,1
NORTH HATFIELD,1
NEW PT RICHEY,5
ELK RUN HEIGHTS,3
GONZALES,184
KOHLER,10
FALLS OF ROUGH,6
MIMS,85
ROANOKE RAPID,21
CA HOTSPRINGS,1
LABADIE,6
MINA,2
BONNE BAY POND,1
TRION,16
SOUTH GLENS FALLS,17
LITTLE TORCH KEY,10
OWENTON,14
VINITA,15
KISSIMMEE FL,1
LABADIEVILLE,6
BENTON,303
JACKSON,1320
MUSELLA,2
WARNER VALLEY,1
PETERMAN,2
EGG HBR TWP,15
KERENS,14
ROULETTE,2
SPIRO,19
PORT ANGELES,90
BEECHER CITY,2
VICCO,1
DOWS,1
TALLMADGE,45
NINILCHIK,3
PALESTINE,81
KARNES CITY,5
RYAN,5
ANTHEM,170
VALLY,1
LXHTCHEE GRVS,1
YUUYU,1
NESHANIC STATION,2
WILLET,3
BLACK HAWK,30
MIRAMAR BEACH,229
BROOKWOOD,10
GLEN HAVEN,5
CRUM LYNNE,7
CALHOUN FALLS,1
CHAPARRAL,13
EARLY,26
COOLBAUGH TOWNSHIP,4
PURVIS,32
WARRIORS MARK,2
MICHIGAN CENTER,10
SCOTTDALE,35
IVA,19
WYLIE,333
OAK LEAF,5
MESILLA PARK,5
GREENPORT,9
NAYLOR,10
WILLMINGTON,1
MORRISTOWN,287
HERMOSA,11
HEYWORTH,12
EARLE,3
CLAFLIN,4
LONE OAK,21
WOODLEAF,6
BRUSH,29
COOK STA,2
JOHNS CREEK,98
NEWELLTON,8
LYMAN,72
PORT ELIZABETH,1
GREENCASTLE,107
KCMO,1
MONROE,1013
WILLIS,167
ATTERBURY,1
GALES FERRY,23
MANDAN,51
LITTLE RIVER,144
EAST CAMBRIDGE,1
SUBLETTE,7
POYEN,2
SHUBUTA,5
DUDLEYVILLE,1
EAST WEYMOUTH,5
EAST SPARTA,5
POMPTON PLNS,2
INDIALANTIC,124
RCHO SANTA FE,7
BELLEAIR BEACH,29
CURLEW,1
LA BARQUE CREEK,1
LOPEZ,2
WARFIELD,4
FOUKE,12
N KINGSTOWN,6
WICHITA,1216
HOOVER,234
LAKEFIELD,2
WESTON LAKES,2
WHITE RIV JCT,4
TRTRTY,1
CLARK FORK,5
HICKORY HILL,4
PAULDEN,17
HOOVEN,2
NUTRIOSO,3
TERRYVILLE,45
COWANSVILLE,2
THEBES,1
TORNILLO,1
AMERICAN FLS,6
CHRISTIANSBRG,13
WOODVILLE,69
SEACREST,4
HYDEN,2
LAWTON,263
ANOKA,93
CLYO,4
HAW RIVER,14
WAKEENEY,10
WAYNESBORO,256
CORSICANA,97
SOUTH PEKIN,2
MORONGO VLY,2
WATONGA,10
CPE GIRARDEAU,21
VAN ALSTYNE,42
PINETOP,33
WARTHEN,1
BORDEN,19
NORTH RIVERSIDE,14
TICHNOR,1
MOATSVILLE,8
CONCHO,8
CAMP HILL,109
EAGLE CREEK,14
LEAWOOD,98
MONTECITO,22
WALNUT COVE,13
HARSENS IS,2
BRUNI,1
BRUNO,2
SOUTH LEBANON,17
NORTH DIGHTON,3
BOLEY,3
ALTAMONT,47
CROUSE,7
CHICORA,10
PICKENS,47
MARYLAND,9
TOWNER,5
EWREW,1
HUMMELSTOWN,76
CORDOVA,288
DENNISON,13
ACOMA,1
HOUTZDALE,3
COBLESKILL,16
DEWART,1
JEREMIAH,1
SOUTHWICK,13
COLLINGDALE,25
LENAXA,1
EAST LANSING,73
AMELIA COURT HOUSE,18
PORT NORRIS,4
BAINVILLE,1
BAYONNE,158
MARTHAVILLE,1
SOUTHAMPTON,203
MASSEY,1
SAINT GERMAIN,12
HIXSON,133
E GREENVILLE,4
PICKETT,2
WICONISCO,2
CALEDONIA,99
LORTON,98
BACKUS,11
ALAMO HEIGHTS,12
LAREDO,654
CHUNCHULA,10
NORTH BILLERICA,17
HOLLY GROVE,1
TRUFANT,1
GUALALA,10
CARPENTERSVLE,24
WILLOW,6
HYATTSVILLE,228
KEARSARGE,1
GROSSE POINTE SHORES,6
CLAY CENTER,19
FRESNO,2328
HOLMAN,1
DRY PRONG,16
FALLON,57
GLEN ST MARY,20
WANETTE,3
UNION PIER,3
RIO VERDE,43
MORGANS POINT,2
DES MOINES,643
HANNAFORD,1
DUNWOODY,114
MI WUK VILLAGE,19
EAGLE BUTTE,2
CORONA,876
RIO GRANDE CITY,39
SESSER,8
HENNING,13
WINTER SPGS,86
KAUNAKAKAI,2
CHERRY HILLS VILLAGE,5
ALICE,58
CARMICHAELS,9
FLORESVILLE,65
WILLOW BRANCH,2
CONCAN,4
SHALLOTTE,43
ENDICOTT,62
KINGSTON,288
VICHY,2
MIZE,4
WINNETKA,163
ANDERSON TOWNSHIP,1
AINSWORTH,10
JHGJG,1
JAL,4
DOLPHIN,1
WRENSHALL,6
BRULE,5
COLLINS,33
FRENCH VILLAGE,6
MULDROW,24
PROVIDENCE FORGE,22
GRANITE FALLS,71
JAY,61
PALOS PARK,35
QUEEN VALLEY,8
TROUPSBURG,2
RANCHO CORDOVA,292
DELANO,103
SUN PRAIRIE,137
BIEBER,2
DELAND,616
SOUTH BRANCH,1
CAWOOD,1
OLYMPIA HEIGHTS,1
ASHWAUBENON,17
NORTH PLAINS,23
SURREY,2
BRUIN,2
LYNWOOD,135
PRIMOS,1
CALIFORNIA CONSERVATION CENT,1
BOLTON,46
PARKER,672
GOODRICH,33
NEW ERA,2
COEYMANS HOLLOW,1
PROVIDENCE,250
HOODSPORT,11
MURDOCK,4
MUNNSVILLE,5
HUBBARD LAKE,4
QUANAH,7
SOUTH VIEW,1
CEDAREDGE,23
N LEWISBURG,6
DIBERVILLE,50
WEEDSPORT,7
DECATUR,1295
ARDMORE,179
COULEE CITY,2
VAN ETTEN,3
WAUNETA,7
RINEYVILLE,23
COWDREY,1
HIGH BRIDGE,12
WATSON,3
FOX RIVER GRV,4
ROSSMOOR,8
SANDUSKY,101
BEAR VALLEY SPRINGS,2
CHEROKEE VLG,11
MOREHEAD CITY,30
BIG PINEY,3
VINCENT,23
JET,1
FAIRMOUNT CITY,3
BUENA VISTA TOWNSHIP,1
HAMMETT,1
RUSKIN,335
WESTLAKE VLG,40
WOODRIDGE,103
HUXLEY,8
ROUND MOUNTAIN,6
PINE HALL,1
CLE CLUM,1
MATHERVILLE,1
VICINITY,1
BENKELMAN,4
SILVER CLIFF,3
LANDENBERG,28
VIOLET,38
ATHERTON,22
BURR HILL,1
AMHERST,237
EAST MC KEESPORT,9
SOUTH BOSTON,49
PINETTA,2
EVERGREEN,157
PORT CRANE,6
GREAT BEND,67
CHINOOK,6
WEBSTER SPRINGS,3
CHERRYVILLE,18
JAMISON,30
MONROVIA,175
MILL VILLAGE,1
WELLESLEY HLS,2
PARKIN,3
ESKO,15
NORTH TROY,2
OAK VALE,2
RANSOM,5
RANSON,11
NORTH SANDWICH,2
MCSHERRYSTOWN,1
SANTA TERESA,32
PLEASANT LAKE,8
LANHAM SEABROOK,2
PINE LEVEL,1
MUSCADINE,1
MEDORA,10
FARMINGVILLE,46
SHILLINGTON,16
BLOOMINGDALE,148
AGAR,1
PEMBROKE TWP,2
SHEBOYGAN FLS,2
AU SABLE FORKS,7
NYACK,23
HARVEY CEDARS,8
HOLLYWOOD,989
APPLE VALLEY,479
ISANTI,49
STREATOR,41
PT PLEASANT BEACH,5
HOPEWELL,83
YAZOO CITY,26
RIDGEVILLE,25
FREEMONT CENTER,1
NARROWS,9
BALD KNOB,12
JACKSON CTR,2
WRIGHTSVILLE BEACH,16
DE LAND,2
PAGOSA SPGS,15
COBBS CREEK,3
BRUCE,6
HYDRO,9
MANCOS,7
NEW LISBON,3
DEER TRAIL,6
LYNNVILLE,14
ROMEO,11
MIAMISBURG,98
GRINNELL,23
ACKERMAN,5
LODGEPOLE,1
COALDALE,4
CARROLLTON,883
ILFELD,1
MARCELLUS,26
BEASLEY,9
VIROQUA,9
TUMBLING SHOALS,1
JOSEPH CITY,1
PONCHA SPRINGS,3
HAMPSHIRE,52
SUGARHILL,2
SPRING CREEK,54
COTUIT,10
VINING,1
FANNING SPRINGS,6
ARKPORT,6
SAINT MARY,7
CATOOSA,21
DUCK RIVER,1
TRUTH OR CONSEQUENCES,17
KENNEBEC,1
SOUTH WEBER,18
SHOBONIER,1
RIO MEDINA,2
MC ALPIN,6
REED CITY,18
SALEM TWP,2
FORT JONES,15
MACKS CREEK,7
SEBAGO,8
MOKELUMNE HL,1
MULLINS,32
RICHLANDTOWN,4
MCKENZIE BRIDGE,1
WEST DUNDEE,32
GALVEZ,1
HEDGESVILLE,26
NEW MILFORD,134
KOSHKONONG,1
AVERY,4
SALE CREEK,7
CARLE PLACE,10
LOVINGSTON,2
PAVILLION,3
DE VALLS BLF,1
FORT WAYNE,955
CANVAS,2
DITTMER,17
WILLIFORD,1
WHITESBURG,25
MEHOOPANY,2
KENMARE,2
CASHMERE,13
WILMER,46
LIDO BEACH,5
LITTLE ROCK,531
AVERA,6
JDSHJDSH,1
HOLLIS,45
WYNDMERE,1
COLWICH,6
NORTHLAKE,102
LANDOVER,25
SYRACUSE,520
BENJAMIN,4
N HOLLYWOOD,38
BRAINARD,4
SOLOMONS,4
BURNT RANCH,3
FORT BELVOIR,8
SOUTH HOLLAND,83
HAILEYVILLE,1
SHRUB OAK,6
BURLINGAME,95
EASTLAKE,69
MINERAL RIDGE,13
MANHEIM,47
STONEVILLE,8
DOERUN,5
OVILLA,22
UMATILLA,52
LAKE WINNEBAGO,10
BIG CABIN,9
LAKE JACKSON,114
DUDLEY,36
NEWCOMERSTOWN,15
PEWEE VALLEY,13
COLCORD,9
S BOUND BROOK,2
LA POINTE,4
SURFSIDE BCH,4
TOMPKINSVILLE,7
LUCERNE MINES,1
RUDYARD,3
MINNEAPOLIS,1692
FORT SHAW,1
DEERVILLE,1
TREVOSE,12
DESMOINES,1
BROADVIEW HIEGHTS,1
LINESVILLE,15
HIALEAH,692
CANYON CREEK,1
MEQUON,75
GARLAND,922
ELECTRIC CITY,8
SPRING RUN,1
GILFORD,20
LUANA,1
MAHNOMEN,3
KUTZTOWN,19
E FALLOWFIELD,2
EASTLAND,27
FOREST GROVE,40
ALBEMARLE,59
DOVER AFB,1
KANAB,18
LK HAVASU CTY,83
ELEANOR,6
LOUSIVILLE,1
HOPEWELL JUNCTION,51
MEXICO,51
NAPERVILLE,550
HOMOSASSA,285
CHERRY,1
HAYDEN,88
RED BLUFF,114
MYRTLE BEACH,827
SOUTH BOARDMAN,4
TIGARD,133
JACK,1
STAR VLY RNCH,2
AUBERRY,16
RIDGE SPRING,6
RUSTON,60
PRESTONSBURG,24
BAUDETTE,8
CASTILE,3
PERALTA,9
SARGENTS,1
WEBBERS FALLS,3
BADIN,6
LEAF RIVER,3
TREASURE ISLAND,121
CULVER,30
TROUTMAN,44
EAST SMITHFIELD,1
WAYMART,9
COEURDALENE,1
SAINT JOHNSBURY,4
SOUTH ATTLEBORO,1
JUCTION,1
BRENTWOOD,750
PRAIRIE VIEW,7
66 BCIO,1
BUCKLEY,50
COUNTY LINE,1
EAST QUOGUE,32
SCHALLER,1
KELAYRES,3
CAMPBELLSBURG,13
INDIAN HEAD,38
ORTING,47
LEADORE,1
ELMWOOD PARK,143
CHAPPELL HILL,5
PORTSMOUTH,454
SOUTHBOROUGH,14
WEST MAGIC,1
MT HOOD PRKDL,1
MANHASSET,32
POTTSVILLE,68
LORAINE,1
CARLSTADT,16
DIAMOND,36
FAIRFIELD,1036
THGVHJBJH,1
JACKSON SPRINGS,5
CLEARLAKE PARK,1
GREYS KNOB,2
CHERRYFIELD,2
OSBORN,1
RUTLAND,38
SWIFTON,1
ALTMAR,3
FT MYERS,3
JUD,1
POTEET,13
NEW JOHNSONVILLE,8
DONGOLA,5
PLATORO,1
S BURLINGTON,10
MOUNT HERMON,9
N CHARLEROI,1
TRINWAY,5
WINTHROP HARBOR,29
CRESCO,19
SOUTH HERO,3
EGG HBR CITY,1
NEWINGTON,124
PERKINS,18
SIMSBORO,3
LINDLEY,2
MULLIN,2
CEDAR LAKE,77
MANSFIEL,4
PORT HAYWOOD,2
IGNACIO,8
WORTH,26
SOUTH LEE,1
HAVERFORD,14
BARRON,3
DAYTONA BEACH SHORES,74
KEENESBURG,19
WELLBORN,12
FISKDALE,5
BADEN,13
MCDONOGH RUN,1
JENSEN BEACH,333
BRIARWOOD,8
COLD SPG HBR,1
CRESCENT,28
GRAND MOUND,5
BEDDINGTON,1
GARDEN CITY S,1
NASELLE,3
LINCOLNTON,78
MEGARGEL,1
DUSON,37
BUCKLIN,2
JERSEY VILLAGE,40
BRINSON,7
LAFAYETTE SPRINGS,2
ACOSTA,1
CAREYWOOD,4
MOUNT SIDNEY,4
RIVES JUNCTION,5
KANSAS,16
ARNEGARD,3
TANGENT,1
SAN ELIZARIO,18
BEAR VALLEY,1
AGRA,6
ROSICLARE,2
SAXONBURG,3
GREENACRES,290
CONOWINGO,8
BASS RIVER TWP,1
SATELLITE BCH,36
FLORAL,2
BEAUFORT,214
ELKO NEW MARKET,13
CLARKSDALE,30
BELLE CENTER,15
MC LAIN,1
HOLLEY,15
LEECHBURG,26
HOMERVILLE,13
NORTH MUSKEGON,2
FT WASHINGTON,44
PASCO,189
SOUTH FULTON,11
SAINT PETERSBURG,1598
SOUTH OZONE PARK,44
SYLACAGUA,1
DIERKS,3
MAIDENS,9
ELLSWORTH,47
ULSTER PARK,6
AMMON,32
KEYSTONE,11
CORRIGAN,12
GLOVERSVILLE,45
DREXEL HILL,113
MC CAMEY,1
HOLLYWOOD PARK,5
SHARON SPRINGS,7
PASSAIC,78
ABRAMS,3
ROPER,8
JANE,1
NORTH BEACH,20
TIKI ISLAND,9
NEW HUDSON,23
ABINGTON,85
EATON RAPIDS,44
KAPPA,1
BROOKLET,27
ALLENDALE,60
CUMBERLAND COLLEGE,1
LA VERGNE,104
WEVER,2
NOGAL,5
MOHRSVILLE,10
HAMILTON CITY,12
DES MONTES,1
ROCK FALLS,25
BOWDOINHAM,6
PARACHUTE,19
MAGNOLIA SQ,1
ANTONIA,2
ANNISTON,128
LITTLE SILVER,13
PENNSDALE,1
DINWIDDIE,11
ELLICOTT CITY,246
ELKWOOD,2
LAKE HUGHES,19
SAINT LANDRY,4
OSMOND,5
SCARB0ROUGH,1
ST PAUL,8
RHINELAND,1
CATALDO,1
SOUTHVIEW,2
DE KALB,13
BRIDGTON,11
HALLANDALE,9
MEDICINE LDG,1
OSKALOOSA,39
HAINES CITY,442
HAUGHTON,55
OVERGARD,1
ELSIE,4
ST SIMONS ISLAND,50
HAGERMAN,10
WASHBURN,36
GROVETOWN,181
SOUTHWEST WASHINGTON,1
WESCOSVILLE,2
BROOKLIN,2
ALTAMONTE SPRINGS,284
AVE MARIA,73
PLYMOUTH MTNG,11
MARION JCT,1
WESLEYAN COL,1
FORT LAWN,10
PORTLANDVILLE,1
ELK CREEK,3
HARPER,14
CARRIER MILLS,3
DALLASTOWN,28
ALLSTON,8
WAUBAY,1
LAKEWOOD,1319
SILER CITY,18
YEADON,22
FELLOWS,1
PONSFORD,1
CAMILLA,20
CONIFER,41
WYANDANCH,15
NORTH MIAMI BEACH,201
CHARLOTTESVLE,49
COWPENS,21
MEDICINE LODGE,11
JAFFREY,10
GALILEE,1
DUMFRIES,139
GLOUSTER,9
BOULDER CREEK,59
INDIAN LAKES ESTATES,1
CADOSIA,1
COLVERDALE,1
DOE RUN,4
GIDDINGS,20
BAZINE,1
ROCKY MOUNT,189
BLOOMINGBURG,21
HUNTINGTON LAKE,1
SAN BENITO,57
BELL GARDENS,62
HIMROD,2
MORGANS POINT RESORT,3
FOUNTAIN HILLS,176
MC CAULLEY,1
PEORIA,1753
SANDIA,11
WALBRIDGE,13
VASSAR,23
ADAIRSVILLE,53
BASS LAKE,11
PALISADE,20
CONKLIN,15
WELLFLEET,15
CA HOT SPRINGS,1
SAINT LEO,1
ROLLING FORK,5
COLUMBIANA,54
POTEAU,33
SHELL BEACH,1
CATHARINE,2
MANHASSET HILLS,1
ROBERT,6
TACOMA,781
DRIPPING SPEINGS,1
BEECH MOUNTAIN,12
CALHOUN,168
ZIONSVILLE,113
COOPERSVILLE,18
BEXLEY,13
GYPSUM,35
BENOIT,1
JAVA,2
MILROY,7
STONE LAKE,7
DILLON BEACH,3
ORANGE SPRINGS,1
HARKER HEIGHTS,77
LOWDEN,2
SHIPPENSBURG,62
ZEPHYRHILLS,532
HEMINGFORD,4
DANIELS,5
GOOSE LAKE,1
SHIP BOTTOM,18
W MILWAUKEE,1
EAST MEREDITH,2
MILLVILLE,137
N WHITE PLAINS,1
MARTINS FERRY,21
N TERRE HAUTE,1
EAST TAUNTON,12
MI METRO,3
WEST EDMESTON,1
MC ADENVILLE,2
ARNOLDSBURG,2
ROCHRSTER HILLS,1
DAYVILLE,19
KEO,3
WEKI WACHEE,1
MEADOWLAKES,10
HORIZON CITY,142
MILL RUN,3
NEWTOWN SQUARE,113
ARKOMA,4
OWENS CROSS ROADS,48
MECHAICSBURG,1
JACINTO CITY,1
CENTERVIEW,11
CAMP LEJEUNE,3
COBHILL,1
ELSAH,2
BALDWIN CITY,33
LANDFALL VLG,1
KEMPNER,32
CONGERVILLE,3
TERREBONNE,28
BATTLE GROUND,112
SUGAR MOUNTAIN,4
HOUSTONIA,2
GODFREY,45
WYOCENA,1
BOONTON TOWNSHIP,5
NEWFIELDS,4
WEST BABYLON,81
DANVILLE,819
GRAND MARAIS,6
EMIGRATION CANYON,1
GERMANTON,5
KASILOF,4
KNIERIM,1
UPPER LAKE,5
SNELLVILLE,353
ALLIANCE,135
N WASHINGTON,2
BEECH BLUFF,9
BAINBRIDGE ISLAND,47
WILLACOOCHEE,3
E GRAND FORKS,4
LENEXA,170
HAROLD,2
SELGMAN,1
PENSACOLA BEACH,59
LEWIS RUN,4
ETNA,60
NORTH HAVERHILL,1
BYRNES MILL,13
FRONT ROYAL,106
CUMBERLAND CITY,2
WEST RUTLAND,5
GRENADA,24
OATVILLE,1
HEWETT,1
HANAHAN,67
CHAPMANSBORO,11
BRANTINGHAM,1
WEST MILWAUKEE,5
CUMBERLAND GAP,5
ALBUQUERQUE,1831
GRAND BAY,45
HIGHLAND PARK,174
ROSE HAVEN,1
FALUN,1
INDIAN CREEK,3
MABLETON,142
EARLSBORO,4
DSRT HOT SPGS,17
WISNER,6
LIKELY,2
OAK CITY,2
ALLIGATOR PT,1
BROCKPORT,35
ROSHOLT,4
OLIVE BRANCH,135
WOODLAND HLS,35
FOLLETT,2
CROOKS,6
SMITH RIVER,12
CHAMBLEE,36
TEUTOPOLIS,3
WAVELAND,21
OQUOSSOC,1
BROMLEY,2
EHEART,1
ADDISON,222
SCHODACK LNDG,3
WINFIELD,141
SCHERERVILLE,96
GLENBURN,6
MCGEHEE,8
BELZONI,7
MOULTONBORO,3
CHIRENO,2
LEWISBURG,103
TILLSON,4
SAN PABLO,153
KENNARD,7
ICARD,1
RIDGE FARM,4
LAKE CLEAR,1
BLANDON,26
CORINTH,170
AULANDER,2
INGLESIDE,70
NAKINA,3
S CLE ELUM,3
W LAKE HILLS,2
KENANSVILLE,5
NICEVILLE,306
WINTER SPRINGS,287
CHENANGO FORKS,6
NEW PARIS,23
WILD ROSE,1
GOREVILLE,7
CONESTOGA,3
MIDDLESBORO,22
COLLEGE CORNER,1
OBERLIN,35
ST AUGUSTINE BEACH,6
DECLO,3
LEESVILLE,81
CONWAY SPGS,3
MADILL,10
ASTORIA,143
LEPANTO,5
MADISON HTS,17
MATAGORDA,8
SUMERDUCK,1
KIRBYVILLE,30
SCHENECTADY,305
CREVE COEUR,47
TAYLOR LAKE VILLAGE,3
TEN SLEEP,1
HOKAH,1
ALABAMA,2
FORT MYERS BEACH,197
MENTONE,51
ROWLAND HGTS,1
CEDARCREEK,1
WITHERBEE,1
CLEARVILLE,4
CLEMMONS,63
LAKE HALLIE,2
CAROLINA BCH,3
LEWES,117
FLENSBURG,1
KINDER,22
BETHANY BEACH,33
RIDGELY,21
BOCA GRANDE,23
TUBA CITY,3
PIE TOWN,1
OZONE PARK,51
OAK BLUFFS,10
BROOKLYN,2452
PALMHURST,7
SNOWFLAKE,34
ASPEN HILL,10
ETTA,2
MOUNT JACKSON,10
BUSHKILL,60
SPRAGUE,3
MT MORRIS,3
WAUBUN,2
AXTELL,17
ANTWERP,15
SHARON HILL,30
CHESWOLD,1
HANAPEPE,4
DARIEN CENTER,1
ANTLERS,17
LAUREL,447
BLOOMINGTION,1
MOUNT ROYAL,16
ANCONA,1
CUSICK,4
WILLISTON,125
HENLEY,5
CLEVER,21
WEBSTER GRVS,8
LK HOPATCONG,6
OTWELL,4
RUTHVEN,3
KEW GARDEN HL,1
HOWARDSTOWN,2
CALIFORNIA CITY,53
CLEVES,43
MERRY HILL,2
KAW CITY,1
EFLAND,9
CORINNE,2
TOMS RIVER,469
SAINT GEORGE ISLAND,16
